,NAMES,AREA,LOCALITY,ZONE N PERSON,NOTE,USP, ,LOWS - DONT DISCLOSE,Pics,PRICE,LOCATION,FOOD ,Drive Link,exact name,exact location,group name,,manager number ,mng name,owner name & number,,,,,url
,,,,,,,,,,minimum 3 months mostly ,,1 month deposit ,,,,,,,,,,,,,
1,FORUM PRO BOYS,koramangla,"silk board, Koramangala, sg palya, MG road,  nexus",KORA,,"great property, newly, gYM, GAMES,",10,T 11 / D 15/ S 22,0,"""⚡️ Welcome to Gharpayy FORUM PRO BOYS - BOYS! ⚡️ ❤️ We're thrilled you loved our rooms.🚀 *Exclusive Offer Alert:* **2K OFF MONTHLY** 

🧡Triple Sharing. - ~Was 15K~, **now only 13k!*
💛Dual Sharing. - ~Originally 18K~, **now just 16K!*
❤️Private rooms - ~Formerly 27k~, **now specially priced at 23K!*

💥 Act Fast: Lock in your reservation NOW and save 2000+ RS every month on a 12-month stay! *Offer expires in 4 hours. *Prebook* now for just 20k!*🔥   enjoy complimentary good food.""","📍GHARPAYY FORUM-PRO!!!
🚀 Attention: Pre-Booking Required! enjoy a seamless experience upon arrival! 

🎯DESTINATION : https://maps.app.goo.gl/FYuooqoSNE6uyZVQ7

Secure your spot before you regret it! See you soon in Bangalore!🏃‍♂️💨
",4 times veg only,https://drive.google.com/drive/folders/1LiKB5MQIXyct3w_dA-M6vPZUNNS-HgqO,kalpavriksha ,https://maps.app.goo.gl/CDmFo9KYX3Ds7anv7,na,,8296124422,,klp,,,,,"https://www.google.com/maps/place/Kalpavriksha+Student+Housing,+Unit+4/@12.932573,77.6083613,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15ae5fb8de13:0x662c0a7a9b75b844!8m2!3d12.932573!4d77.6109362!16s%2Fg%2F11s56lt2yr?entry=tts&g_ep=EgoyMDI1MDExMC4wIPu8ASoASAFQAw%3D%3D"
1,FORUM 1 BOYS,koramangla,"silk board, Koramangala, sg palya, MG road,  nexus",,,"great property, newly, gYM, GAMES,",10,T 10/ D14/ S21,ooo,"""⚡️ Welcome to Gharpayy FORUM BOYS - BOYS! ⚡️ ❤️ We're thrilled you loved our rooms.🚀 *Exclusive Offer Alert:* **2K OFF MONTHLY** 

🧡Triple Sharing. - ~Was 14k~, **now only 12k!*
💛Dual Sharing. - ~Originally 17k~, **now just 15k!*
❤️Private rooms - ~Formerly 27k~, **now specially priced at 24k!*

💥 Act Fast: Lock in your reservation NOW and save 2000+ RS every month on a 12-month stay! *Offer expires in 4 hours. *Prebook* now for just 20k!*🔥   enjoy complimentary good food.""","📍GHARPAYY FORUM 1
🚀 Attention: Pre-Booking Required! enjoy a seamless experience upon arrival! 

🎯DESTINATION : https://maps.app.goo.gl/FYuooqoSNE6uyZVQ7

Secure your spot before you regret it! See you soon in Bangalore!🏃‍♂️💨
",4 times veg only,,kalpavriksha,https://maps.app.goo.gl/CDmFo9KYX3Ds7anv7,na,,7275630428,,klp,,,,,"https://www.google.com/maps/place/Kalpavriksha+Student+Housing,+Unit+4/@12.932573,77.6083613,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15ae5fb8de13:0x662c0a7a9b75b844!8m2!3d12.932573!4d77.6109362!16s%2Fg%2F11s56lt2yr?entry=tts&g_ep=EgoyMDI1MDExMC4wIPu8ASoASAFQAw%3D%3D"
1,GT GIRLS,koramangla,"silk board, Koramangala, sg palya, MG road,  nexus",,,"great property, newly, gYM, GAMES,BEST GIRLS PROPERTY IN KORAMANGALA",20, D  15/  / S 24 /  ±2k,.,"⚡️ Welcome to Gharpayy GT GIRLS! ⚡️ ❤️ We're thrilled you loved our rooms.🚀 *Exclusive Offer Alert:* **2K OFF MONTHLY** 


💛Dual Sharing. - ~Originally 17k~, **now just 15k!*
❤️Private rooms - ~Formerly 27k~, **now specially priced at 24k!*

💥 Act Fast: Lock in your reservation NOW and save 2000+ RS every month on a 12-month stay! *Offer expires in 4 hours. *Prebook* now for just 20k!*🔥   enjoy complimentary good food.","📍GHARPAYY  GT GIRLS
🚀 Attention: Pre-Booking Required! enjoy a seamless experience upon arrival! 

🎯DESTINATION : https://maps.app.goo.gl/aCdXQorPaPbkstsc6

Secure your spot before you regret it! See you soon in Bangalore!🏃‍♂️💨
",4 times veg only,,my roomie lavender,,,,,,,,,,,
1,ESPLANADE GIRLS,koramangla,"silk board, Koramangala, sg palya, MG road,  nexus",,,"great property, newly, gYM, GAMES,BEST GIRLS PROPERTY IN KORAMANGALA",20,T 20/ D  22 / D AC 26 / S 35 / S AC 39,.,"⚡️ Welcome to Gharpayy ESPLANADE GIRLS! ⚡️ ❤️ We're thrilled you loved our rooms.🚀 *Exclusive Offer Alert:* **4K OFF MONTHLY** 

🧡Triple Sharing. - ~Was 25k~, **now only 21k!*
💛Dual Sharing. - ~Originally 28k~, **now just 24k!*
💛Dual Sharing AC. - ~Originally 32k~, **now just 28k!*
❤️Private rooms - ~Formerly 41k~, **now specially priced at 37k!*
❤️Private rooms AC - ~Formerly 45k~, **now specially priced at 41k!*

💥 Act Fast: Lock in your reservation NOW and save 2000+ RS every month on a 12-month stay! *Offer expires in 4 hours. *Prebook* now for just 25k!*🔥   enjoy complimentary good food.","📍GHARPAYY  ESPLANADE GIRLS
🚀 Attention: Pre-Booking Required! enjoy a seamless experience upon arrival! 

🎯DESTINATION : https://maps.app.goo.gl/aCdXQorPaPbkstsc6

Secure your spot before you regret it! See you soon in Bangalore!🏃‍♂️💨
",4 times veg only,,kalpavriksha GARDENIA,https://maps.app.goo.gl/rGeVSJxVUQskZS5M7,,,6364800803,priyanka,,,,,,
1,GQ girl,koramangla,"NEXUS,IBC knowledge,  baneraghata road,  5km , dairy circle, jayanagar,  jp",,,"super close to everything , common area , good pg food  , next to mall",20,D 16/ S24,"Yep,  _*EAGER TO SEE THE ACCOMMODATION ?*_ 👀 

 *GHARPAYY - GQ GIRLS*  👉👉 https://stays.gharpayy.in/view?file=GQ%20GIRLS.pdf ♥️
> FULLY FURNISHED WITH    FOOD & GREAT AMENITIES. IT'S HAND-PICKED FOR YOU 🔑 PREBOOK & UNLOCK DISCOUNTS 

*RATE OUT OF 10 ?* 🫢👌
 
> OR ASK QUESTIONS,  SO, WE CAN UNDERSTAND YOUR NEEDS ASAP & GET BEST ACCOMMODATION. 

Click To See - REFER N EARN
","⚡️ Welcome to Gharpayy GQ - GIRLS! ⚡️ ❤️ We're thrilled you loved our rooms.🚀 *Exclusive Offer Alert:* **2K OFF MONTHLY** 

💛Dual Sharing. - ~Originally 19k~, **now just 17k!*
❤️Private rooms - ~Formerly 27k~, **now specially priced at 25k!*

💥 Act Fast: Lock in your reservation NOW and save 2000+ RS every month on a 12-month stay! *Offer expires in 4 hours. *Prebook* now for just 20k!*🔥   enjoy complimentary good food.","📍GHARPAYY GQ GIRLS

🚀 Attention: Pre-Booking Required!   _enjoy a seamless experience upon arrival!_ 

🎯DESTINATION [https://maps.app.goo.gl/cokeKf8enryASuxP9 ]

 _secure your spot before you regret it! See you soon in Bangalore!_🏃‍♂️💨",4 times veg only,https://drive.google.com/drive/folders/10nEjMHRUvEbky7EP8cyhHsfCEdw81Uqo,My Home Grandeur,https://maps.app.goo.gl/LmzGmeE7NbtqyWvNA,My home-gharpayy,,8884449621,,supriya,,,,,"https://www.google.com/maps/place/My+Home+Grandeur/@12.933847,77.6052049,1142m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3bae150027a33c3f:0x984609440dee8847!8m2!3d12.933847!4d77.6077798!16s%2Fg%2F11v_4vc4_b?entry=tts&g_ep=EgoyMDI1MDUxMy4xIPu8ASoASAFQAw%3D%3D&skid=61ed4eb5-9b75-4e3b-8c2a-d5a18cd19daf"
1,homely GIRLS,koramangla,"silk board, Koramangala, sg palya, MG road,  nexus",,,"great property, newly, gYM, GAMES,",20,T 14/ D 16/S 24,"Yep,  _*EAGER TO SEE THE ACCOMMODATION ?*_ 👀 

 *GHARPAYY - HOMELY FORUM G*  👉👉 https://stays.gharpayy.in/view?file=HOMELY%20FORUM%20G.pdf  ♥️
> FULLY FURNISHED WITH    FOOD & GREAT AMENITIES. IT'S HAND-PICKED FOR YOU 🔑 PREBOOK & UNLOCK DISCOUNTS 

*RATE OUT OF 10 ?* 🫢👌
 
> OR ASK QUESTIONS,  SO, WE CAN UNDERSTAND YOUR NEEDS ASAP & GET BEST ACCOMMODATION. 

Click To See - REFER N EARN
","""⚡️ Welcome to Gharpayy HOMELY GIRLS! ⚡️ ❤️ We're thrilled you loved our rooms.🚀 *Exclusive Offer Alert:* **2K OFF MONTHLY** 

🧡Triple Sharing. - ~Was 16k~, **now only 14k!*
💛Dual Sharing. - ~Originally 19k~, **now just 17k!*
❤️Private rooms - ~Formerly 27k~, **now specially priced at 24k!*

💥 Act Fast: Lock in your reservation NOW and save 2000+ RS every month on a 12-month stay! *Offer expires in 4 hours. *Prebook* now for just 20k!*🔥   enjoy complimentary good food.""","📍GHARPAYY  HOMELY GIRLS
🚀 Attention: Pre-Booking Required! enjoy a seamless experience upon arrival! 

🎯DESTINATION : https://maps.app.goo.gl/FYuooqoSNE6uyZVQ7

Secure your spot before you regret it! See you soon in Bangalore!🏃‍♂️💨
",4 times veg only,,kalpavriksha,https://maps.app.goo.gl/cZ7Z8V7SC4fdYXSG6,klp 1 girls,,6364800803,priyanka,,,,,,
1,AFFO GIRLS NV,koramangla,"IBC knowledge,  baneraghata road,  5km , dairy circle, jayanagar,  jp",,,"super close to everything , common area , good pg food  , next to mall",20,D 11/ S 20,"Yep,  _*EAGER TO SEE THE ACCOMMODATION ?*_ 👀 

 *GHARPAYY - AFFO GIRLS*  👉👉 https://stays.gharpayy.in/view?file=GG%20AFFO%20GIRLS%20K.pdf  ♥️
> FULLY FURNISHED WITH    FOOD & GREAT AMENITIES. IT'S HAND-PICKED FOR YOU 🔑 PREBOOK & UNLOCK DISCOUNTS 

*RATE OUT OF 10 ?* 🫢👌
 
> OR ASK QUESTIONS,  SO, WE CAN UNDERSTAND YOUR NEEDS ASAP & GET BEST ACCOMMODATION. 

Click To See - REFER N EARN","⚡️ Welcome to Gharpayy AFFO - GIRLS! ⚡️ ❤️ We're thrilled you loved our rooms.🚀 *Exclusive Offer Alert:* **2K OFF MONTHLY** 

💛Dual Sharing. - ~Originally 15k~, **now just 12.5k!*
❤️Private rooms - ~Formerly 27k~, **now specially priced at 22k!*

💥 Act Fast: Lock in your reservation NOW and save 2000+ RS every month on a 3-month stay! *Offer expires in 4 hours. *Prebook* now for just 3k!*🔥   enjoy complimentary good food. NON VEG TOO","📍GHARPAYY AFFO GIRLS

🚀 Attention: Pre-Booking Required!   _enjoy a seamless experience upon arrival!_ 

🎯DESTINATION [https://maps.app.goo.gl/4h5a93JbPuD5ezUs7 ]

 _secure your spot before you regret it! See you soon in Bangalore!_🏃‍♂️💨",4 times veg only,,class house,https://maps.app.goo.gl/mGcCjQ57qNFXpyfF9,gg Madhavi homes cl layout,,9032867594,,,7892014576,Sandeep,Adler near faith manager,,
1,homely BOYS,koramangla,"silk board, Koramangala, sg palya, MG road,  nexus",,,"great property, newly, gYM, GAMES,",20,T 14/ D 16/S 24,"Yep,  _*EAGER TO SEE THE ACCOMMODATION ?*_ 👀 

 *GHARPAYY - HOMELY FORUM B*  👉👉 https://stays.gharpayy.in/view?file=HOMELY%20FORUM%20B.pdf  ♥️
> FULLY FURNISHED WITH    FOOD & GREAT AMENITIES. IT'S HAND-PICKED FOR YOU 🔑 PREBOOK & UNLOCK DISCOUNTS 

*RATE OUT OF 10 ?* 🫢👌
 
> OR ASK QUESTIONS,  SO, WE CAN UNDERSTAND YOUR NEEDS ASAP & GET BEST ACCOMMODATION. 

Click To See - REFER N EARN
","""⚡️ Welcome to Gharpayy HOMELY BOYS! ⚡️ ❤️ We're thrilled you loved our rooms.🚀 *Exclusive Offer Alert:* **2K OFF MONTHLY** 

🧡Triple Sharing. - ~Was 16k~, **now only 14k!*
💛Dual Sharing. - ~Originally 19k~, **now just 17k!*
❤️Private rooms - ~Formerly 27k~, **now specially priced at 24k!*

💥 Act Fast: Lock in your reservation NOW and save 2000+ RS every month on a 12-month stay! *Offer expires in 4 hours. *Prebook* now for just 20k!*🔥   enjoy complimentary good food.""","📍GHARPAYY HOMELY BOYS
🚀 Attention: Pre-Booking Required! enjoy a seamless experience upon arrival! 

🎯DESTINATION : https://maps.app.goo.gl/FYuooqoSNE6uyZVQ7

Secure your spot before you regret it! See you soon in Bangalore!🏃‍♂️💨
",4 times veg only,,kalpavriksha,https://maps.app.goo.gl/cZ7Z8V7SC4fdYXSG6,klp ,,6364800803,priyanka,,,,,,"https://www.google.com/maps/place/Kalpavriksha+Student+Housing/@12.9327381,77.6080763,1106m/data=!3m1!1e3!4m7!3m6!1s0x3bae15cf1f12b37f:0x3865eb781280be5!8m2!3d12.9328928!4d77.6103663!15sCsIBS2FscGF2cmlrc2hhIFN0dWRlbnQgSG91c2luZywgNDgtNDksIEthbHBhdnJpa3NoYSBTdHVkZW50IEhvdXNpbmcsIEJodXZhbmFwcGEgTGF5b3V0LCBUYXZhcmVrZXJlIE1haW4gUmQsIG9wcC4gTmV4dXMgTWFsbCBQYXJraW5nLCBUYXZhcmVrZXJlLCBLYXZlcmkgTGF5b3V0LCBBZHVnb2RpLCBCZW5nYWx1cnUsIEthcm5hdGFrYSA1NjAwMjlaugEitwFrYWxwYXZyaWtzaGEgc3R1ZGVudCBob3VzaW5nIDQ4IDQ5IGthbHBhdnJpa3NoYSBzdHVkZW50IGhvdXNpbmcgYmh1dmFuYXBwYSBsYXlvdXQgdGF2YXJla2VyZSBtYWluIHJkIG9wcCBuZXh1cyBtYWxsIHBhcmtpbmcgdGF2YXJla2VyZSBrYXZlcmkgbGF5b3V0IGFkdWdvZGkgYmVuZ2FsdXJ1IGthcm5hdGFrYSA1NjAwMjmSARFzdHVkZW50X2Rvcm1pdG9yeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU5sQTJNRkZuRUFF4AEA-gEECAAQKw!16s%2Fg%2F11p02mlmd2!5m1!1e1?entry=tts&g_ep=EgoyMDI1MTIwMi4wIPu8ASoASAFQAw%3D%3D&skid=38d3fef4-a729-4530-a2c4-60b13974bae8"
1,G Forum GIRLS,koramangla,"IBC knowledge,  baneraghata road,  5km , dairy circle, jayanagar,  jp",,,"super close to everything , common area , good pg food  , next to mall",2,D 13,"Yep,  _*EAGER TO SEE THE ACCOMMODATION ?*_ 👀 

 *GHARPAYY - HOMELY FORUM G*  👉👉 https://stays.gharpayy.in/view?file=HOMELY%20FORUM%20G.pdf  ♥️
> FULLY FURNISHED WITH    FOOD & GREAT AMENITIES. IT'S HAND-PICKED FOR YOU 🔑 PREBOOK & UNLOCK DISCOUNTS 

*RATE OUT OF 10 ?* 🫢👌
 
> OR ASK QUESTIONS,  SO, WE CAN UNDERSTAND YOUR NEEDS ASAP & GET BEST ACCOMMODATION. 

Click To See - REFER N EARN
","⚡️ Welcome to Gharpayy FORUM - GIRLS! ⚡️ ❤️ We're thrilled you loved our rooms.🚀 *Exclusive Offer Alert:* **2K OFF MONTHLY** 

💛Dual Sharing. - ~Originally 16k~, **now just 14k!*
❤️Private rooms - ~Formerly 24k~, **now specially priced at 22k!*

💥 Act Fast: Lock in your reservation NOW and save 2000+ RS every month on a 12-month stay! *Offer expires in 4 hours. *Prebook* now for just 20k!*🔥   enjoy complimentary good food.","📍GHARPAYY FORUM GIRLS

🚀 Attention: Pre-Booking Required!   _enjoy a seamless experience upon arrival!_ 

🎯DESTINATION [https://maps.app.goo.gl/rSsdLXmWjA3CwbES7 ]

 _secure your spot before you regret it! See you soon in Bangalore!_🏃‍♂️💨",4 times veg only,,class house,https://maps.app.goo.gl/mGcCjQ57qNFXpyfF9,na,,8800887053,,prasad,9606631307,,,,"https://www.google.com/maps/place/TURN+STYLE/@12.9352598,77.6093281,201m/data=!3m1!1e3!4m12!1m5!3m4!2zMTLCsDU2JzA3LjIiTiA3N8KwMzYnMzIuOSJF!8m2!3d12.935324!4d77.609126!3m5!1s0x3bae144d39eb268d:0xb59377bc510df49f!8m2!3d12.9354651!4d77.6090131!16s%2Fg%2F1ptxlt8kk!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D"
