BENGALURU — LANDMARK & POI REGISTRY (35 Key Nodes),,,,,,
Colleges | Malls | Junctions | Railway Stations | Bus Terminals | Metro Anchors,,,,,,
Name,Type,Address / Area,PIN,Lat,Lng,
Christ University,University,"Hosur Main Rd, Lakkasandra",560029,12.9344,77.6050,
Forum Mall Koramangala,Mall,Koramangala 1st Block,560034,12.9340,77.6104,
Madiwala Market,Market,Madiwala,560068,12.9164,77.6224,
Silk Board Junction,Junction,Hosur Rd / ORR,560100,12.9160,77.6231,
KIAL (Airport),Airport,Devanahalli,562157,13.1987,77.7063,
Kempegowda Bus Station (Majestic),Bus Terminal,CBD,560009,12.9767,77.5718,
KSR Railway Station (City),Railway Station,CBD,560023,12.9762,77.5680,
Yeshwanthpur Railway Station,Railway Station,Yeshwanthpur,560022,13.0215,77.5452,
Whitefield Railway Station,Railway Station,Whitefield,560066,12.9700,77.7250,
Hebbal Flyover,Junction,NH 44,560024,13.0350,77.5970,
Dairy Circle Junction,Junction,Hosur Rd / Inner Ring Rd,560029,12.9319,77.6026,
Marathahalli Bridge,Junction,ORR,560037,12.9591,77.6974,
Bellandur Junction,Junction,ORR / Sarjapur Rd,560103,12.9277,77.6781,
IIM Bangalore,Institution,Bannerghatta Rd,560076,12.8990,77.6000,
RV College of Engineering,College,Mysore Rd,560059,12.9224,77.4987,
PES University,University,BSK III Stage,560085,12.9120,77.5355,
BMS College of Engineering,College,Bull Temple Rd,560019,12.9421,77.5679,
MS Ramaiah Institute,College,Mathikere,560054,13.0310,77.5596,
Lalbagh Botanical Garden,Garden,Mavalli,560004,12.9487,77.5840,
Cubbon Park,Park,Kasturba Rd,560001,12.9763,77.5965,
UB City Mall,Mall,Vittal Mallya Rd,560001,12.9722,77.5949,
Phoenix Marketcity Whitefield,Mall,Mahadevapura,560048,12.9939,77.6984,
Orion Mall Rajajinagar,Mall,Dr Raj Kumar Rd,560022,13.0125,77.5555,
Garuda Mall CBD,Mall,Magrath Rd,560025,12.9743,77.6043,
BTM Layout Metro,Metro Station,BTM Layout,560076,12.9163,77.6100,
Jayadeva Hospital Metro,Metro Station,Hosur Rd,560029,12.9228,77.6019,
Jayanagar Metro,Metro Station,Jayanagar 4th Block,560041,12.9289,77.5830,
Indiranagar Metro,Metro Station,Indiranagar,560038,12.9784,77.6408,
MG Road Metro,Metro Station,MG Road,560001,12.9741,77.6070,
Baiyappanahalli Metro,Metro Station,Baiyappanahalli,560084,12.9818,77.6556,
Electronic City Metro,Metro Station,Electronic City,560100,12.8445,77.6782,
Central Silk Board Metro,Metro Station,Silk Board,560100,12.9160,77.6231,
Yeshwanthpur Metro,Metro Station,Yeshwanthpur,560022,13.0215,77.5452,
Kengeri Metro,Metro Station,Kengeri,560060,12.9014,77.4791,
Whitefield Kadugodi Metro,Metro Station,Whitefield,560066,12.9912,77.7503,
