BENGALURU — KEY POINT-TO-POINT DISTANCES,,,,,,
Haversine km (straight-line) + verified road distances (where available from public sources),,,,,,
Origin,Destination,Haversine km,Road (approx),Notes,,
FROM: Christ University,,,,,,
Christ University,Jayanagar 4th Block Metro,2.46,4.0 km (verified),4.0km road / 12min drive from Christ Univ [verified],,
Christ University,Jayadeva Hospital Metro,1.33,0.01 km (walking),~13m walk from Christ Univ [verified],,
Christ University,BTM Layout Metro,2.08,1.95 km (verified),1.95km from Christ Univ [verified],,
Christ University,Central Silk Board Metro,2.83,~4.1 km (est.),,,
Christ University,Jayanagar Metro,2.46,~3.6 km (est.),Green Line,,
Christ University,MG Road Metro,4.42,~6.4 km (est.),Purple Line,,
Christ University,Indiranagar Metro,6.24,~9.0 km (est.),Purple Line,,
Christ University,Whitefield Metro (Kadugodi),16.96,~24.6 km (est.),Purple Line end,,
Christ University,ITPB Tech Park,16.01,~23.2 km (est.),,,
Christ University,Manyata Tech Park,13.09,~19.0 km (est.),,,
Christ University,Bagmane Tech Park,8.27,~12.0 km (est.),,,
Christ University,Embassy TechVillage,9.40,~13.6 km (est.),,,
Christ University,Electronic City,12.76,~18.5 km (est.),,,
Christ University,KIAL Airport,31.37,~45.5 km (est.),,,
Christ University,Majestic Bus Stand,5.92,~8.6 km (est.),,,
Christ University,KSR Railway Station,6.14,~8.9 km (est.),,,
FROM: Forum Mall Koramangala,,,,,,
Forum Mall Koramangala,Jayanagar 4th Block Metro,3.02,~4.4 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
Forum Mall Koramangala,Jayadeva Hospital Metro,1.55,~2.2 km (est.),~13m walk from Christ Univ [verified],,
Forum Mall Koramangala,BTM Layout Metro,1.97,~2.9 km (est.),1.95km from Christ Univ [verified],,
Forum Mall Koramangala,Central Silk Board Metro,2.43,~3.5 km (est.),,,
Forum Mall Koramangala,Jayanagar Metro,3.02,~4.4 km (est.),Green Line,,
Forum Mall Koramangala,MG Road Metro,4.47,~6.5 km (est.),Purple Line,,
Forum Mall Koramangala,Indiranagar Metro,5.94,~8.6 km (est.),Purple Line,,
