BENGALURU NAMMA METRO — ALL STATIONS (116),,,,,
"83 operational stations (as of Aug 2025) + upcoming UC stations | Lines: Purple, Green, Yellow (opened Aug 10 2025), Pink (UC), Blue (UC) | Source: Wikipedia, BMRC",,,,,
Line,Station Name,Lat,Lng,Status,
Purple,Whitefield (Kadugodi),12.9912,77.7503,Operational,
Purple,Hopefarm Channasandra,12.9912,77.7408,Operational,
Purple,Kadugodi Tree Park,12.9885,77.7350,Operational,
Purple,Pattandur Agrahara,12.9810,77.7310,Operational,
Purple,Sri Sathya Sai Hospital,12.9780,77.7245,Operational,
Purple,Nallurhalli,12.9788,77.7160,Operational,
Purple,Kundalahalli,12.9764,77.7082,Operational,
Purple,Seetharamapalya,12.9720,77.7020,Operational,
Purple,Hoodi,12.9650,77.6962,Operational,
Purple,Garudacharpalya,12.9621,77.6889,Operational,
Purple,Singayyanapalya,12.9605,77.6820,Operational,
Purple,Krishnarajapura,12.9591,77.6751,Operational,
Purple,Benniganahalli,12.9760,77.6640,Operational,
Purple,Baiyappanahalli,12.9818,77.6556,Operational,
Purple,Swami Vivekananda Road,12.9845,77.6614,Operational,
Purple,Indiranagar,12.9784,77.6408,Operational,
Purple,Halasuru,12.9765,77.6273,Operational,
Purple,Trinity,12.9732,77.6148,Operational,
Purple,Mahatma Gandhi Road,12.9741,77.6070,Operational,
Purple,Cubbon Park,12.9763,77.5965,Operational,
Purple,Vidhana Soudha,12.9791,77.5906,Operational,
Purple,Sir M. Visveshwaraya,12.9769,77.5826,Operational,
Purple,Majestic (Nadaprabhu Kempegowda),12.9767,77.5718,Operational,
Purple,KSR Railway Station,12.9762,77.5680,Operational,
Purple,Magadi Road,12.9753,77.5595,Operational,
Purple,Hosahalli,12.9766,77.5507,Operational,
Purple,Vijayanagar,12.9735,77.5232,Operational,
Purple,Attiguppe,12.9703,77.5162,Operational,
Purple,Deepanjali Nagar,12.9681,77.5095,Operational,
Purple,Mysuru Road,12.9627,77.4990,Operational,
Purple,Pantharapalya-Nayandahalli,12.9501,77.5052,Operational,
Purple,Rajarajeshwari Nagar,12.9350,77.4960,Operational,
Purple,Jnanabharathi,12.9286,77.4900,Operational,
Purple,Pattanagere,12.9176,77.4873,Operational,
Purple,Kengeri Bus Terminal,12.9092,77.4825,Operational,
Purple,Kengeri,12.9014,77.4791,Operational,
Purple,Challaghatta,12.8950,77.4750,Operational,
Green,Madavara,13.0732,77.5020,Operational,
Green,Chikkabidarakallu,13.0600,77.5130,Operational,
Green,Manjunath Nagar,13.0500,77.5200,Operational,
Green,Nagasandra,13.0440,77.5260,Operational,
Green,Dasarahalli,13.0360,77.5330,Operational,
Green,Jalahalli,13.0280,77.5400,Operational,
Green,Peenya Industry,13.0200,77.5380,Operational,
Green,Peenya,13.0155,77.5343,Operational,
Green,Goraguntepalya,13.0100,77.5388,Operational,
Green,Yeshwanthpur,13.0215,77.5452,Operational,
Green,Sandal Soap Factory,13.0082,77.5508,Operational,
Green,Mahalakshmi,13.0009,77.5558,Operational,
Green,Rajajinagar,12.9940,77.5542,Operational,
Green,Kuvempu Road,12.9901,77.5609,Operational,
Green,Srirampura,12.9867,77.5648,Operational,
Green,Mantri Square Sampige Road,12.9827,77.5693,Operational,
Green,Majestic (Nadaprabhu Kempegowda),12.9767,77.5718,Operational,
Green,Chickpete,12.9719,77.5741,Operational,
Green,Krishna Rajendra Market,12.9677,77.5763,Operational,
Green,National College,12.9600,77.5811,Operational,
Green,Lalbagh,12.9505,77.5826,Operational,
Green,South End Circle,12.9434,77.5835,Operational,
Green,Jayanagar,12.9289,77.5830,Operational,
Green,Rashtreeya Vidyalaya Road,12.9175,77.5837,Operational,
Green,Banashankari,12.9119,77.5793,Operational,
Green,Jaya Prakash Nagar,12.9058,77.5874,Operational,
Green,Yelachenahalli,12.8932,77.5822,Operational,
Green,Konankunte Cross,12.8800,77.5761,Operational,
Green,Doddakallasandra,12.8786,77.5589,Operational,
Green,Vajarahalli,12.8700,77.5498,Operational,
Green,Thalaghattapura,12.8605,77.5405,Operational,
Green,Silk Institute,12.8550,77.5345,Operational,
Yellow,Rashtreeya Vidyalaya Road,12.9175,77.5837,Operational,
Yellow,Ragigudda,12.9145,77.5960,Operational,
Yellow,Jayadeva Hospital,12.9228,77.6019,Operational,
Yellow,BTM Layout,12.9163,77.6100,Operational,
Yellow,Central Silk Board,12.9160,77.6231,Operational,
Yellow,Bommanahalli,12.9039,77.6330,Operational,
Yellow,Hongasandra,12.8950,77.6349,Operational,
Yellow,Kudlu Gate,12.8840,77.6432,Operational,
Yellow,Singasandra,12.8720,77.6520,Operational,
Yellow,Hosa Road,12.8599,77.6875,Operational,
Yellow,Beratena Agrahara,12.8500,77.6820,Operational,
Yellow,Electronic City,12.8445,77.6782,Operational,
Yellow,Infosys Foundation Konappana Agrahara,12.8337,77.6758,Operational,
Yellow,Huskur Road,12.8230,77.6745,Operational,
Yellow,Biocon Hebbagodi,12.8226,77.6768,Operational,
Yellow,Delta Electronics Bommasandra,12.8100,77.6800,Operational,
Pink,Kalena Agrahara,12.8750,77.6100,Under Construction,
Pink,Hulimavu,12.8850,77.6050,Under Construction,
Pink,IIMB,12.8990,77.6000,Under Construction,
Pink,JP Nagar 4th Phase,12.8990,77.5910,Under Construction,
Pink,Jayadeva Hospital,12.9228,77.6019,Operational,
Pink,Tavarekere,12.9250,77.6075,Under Construction,
Pink,Dairy Circle,12.9319,77.6026,Under Construction,
Pink,Lakkasandra,12.9287,77.6017,Under Construction,
Pink,Langford Town,12.9520,77.5950,Under Construction,
Pink,National Military School,12.9600,77.5900,Under Construction,
Pink,Mahatma Gandhi Road,12.9741,77.6070,Operational,
Pink,Shivajinagar,12.9870,77.6010,Under Construction,
Pink,Cantonment Rly Station,12.9971,77.5993,Under Construction,
Pink,Pottery Town,13.0008,77.6070,Under Construction,
Pink,Tannery Road,13.0080,77.6200,Under Construction,
Pink,Nagawara,13.0380,77.6250,Under Construction,
Blue,Central Silk Board,12.9160,77.6231,Under Construction,
Blue,HSR Layout,12.9116,77.6389,Under Construction,
Blue,Agara,12.9190,77.6440,Under Construction,
Blue,Ibbaluru,12.9280,77.6580,Under Construction,
Blue,Bellandur,12.9277,77.6781,Under Construction,
Blue,Kadubeesanahalli,12.9450,77.7048,Under Construction,
Blue,Marathahalli,12.9591,77.6974,Under Construction,
Blue,ISRO,12.9785,77.6870,Under Construction,
Blue,Doddanekundi,12.9650,77.6962,Under Construction,
Blue,Bagmane Developers DRDO,12.9845,77.6614,Under Construction,
Blue,Krishnarajapura,12.9591,77.6751,Under Construction,
Blue,Nagawara,13.0380,77.6250,Under Construction,
Blue,Yelahanka,13.1002,77.5963,Under Construction,
Blue,Airport City,13.1800,77.6300,Under Construction,
Blue,KIAL Terminals,13.1987,77.7063,Under Construction,
