BENGALURU — PINCODE MASTER LIST,,,,,
"51 major PINs | Source: India Post, BankBazaar, IndiaTV, Housing.com | Coordinates: approximate centroids for haversine computation",,,,,
PIN Code,Locality / Area,Centroid Lat,Centroid Lng,Zone,
560001,CBD / MG Road / Residency Rd,12.9716,77.5946,Central,
560002,Chickpet / KR Market,12.9659,77.5773,Central,
560003,Malleswaram,13.0035,77.5668,North-West,
560004,Basavanagudi / Mavalli,12.9457,77.5681,South,
560005,Fraser Town / Jeevanahalli,12.9930,77.6110,North-East,
560008,Indiranagar (partial),12.9784,77.6408,East,
560010,Bhashyam Circle / Shivajinagar,12.9821,77.5972,Central,
560011,Jayanagar 3rd Block,12.9299,77.5886,South,
560016,Doorvaninagar / DRDO,13.0160,77.6315,North-East,
560017,Cox Town / Ulsoor,12.9792,77.6141,East-Central,
560018,Sadashivanagar,13.0075,77.5800,North-West,
560019,Gaviopuram / NR Colony,12.9495,77.5583,South-West,
560020,KP West,12.9832,77.5712,North-West,
560021,Okalipuram / Gayathrinagar,12.9889,77.5519,West,
560022,Yeshwanthpur,13.0215,77.5452,North-West,
560025,Rajajinagar,12.9940,77.5542,North-West,
560029,Lakkasandra / Christ Univ area,12.9287,77.6017,South,
560030,Adugodi / Koramangala-adj,12.9434,77.6116,South-East,
560034,Koramangala,12.9352,77.6244,South-East,
560037,Marathahalli / Doddanekkundi,12.9591,77.6974,East,
560038,Indiranagar,12.9784,77.6408,East,
560040,Vijayanagar,12.9735,77.5232,West,
560041,Jayanagar,12.9258,77.5850,South,
560043,Kalyanagar,13.0231,77.6419,North-East,
560045,Nagavara / Manyata,13.0510,77.6215,North,
560046,Benson Town,13.0025,77.6003,North-Central,
560050,Banashankari,12.9276,77.5593,South,
560054,Mathikere / MSRIT,13.0310,77.5596,North-West,
560055,Malleswaram West,13.0020,77.5581,North-West,
560060,Bannerghatta Road,12.8930,77.5980,South,
560062,Doddakallasandra,12.8786,77.5589,South,
560063,Yelahanka (AF Station),13.1007,77.5963,North,
560064,Yelahanka / Satellite Town,13.1002,77.5963,North,
560066,Whitefield / Pattandur,12.9700,77.7482,East,
560067,Kadugodi / Whitefield ext,12.9912,77.7503,East,
560068,Bommanahalli,12.9039,77.6330,South-East,
560069,Jayanagar East,12.9308,77.6050,South,
560070,Jayanagar West / Padmanabhnagar,12.9330,77.5680,South,
560071,Domlur,12.9608,77.6492,East,
560075,New Thippasandra,12.9906,77.6459,East,
560076,BTM Layout / MICO Layout,12.9163,77.6100,South,
560078,JP Nagar Phase 3 / Yelachenahalli,12.9058,77.5874,South,
560079,Basaveshwaranagar / Kamakshipalya,12.9841,77.5354,West,
560087,Panathur,12.9380,77.7080,East,
560092,Amruthahalli,13.0495,77.5916,North,
560093,CV Raman Nagar / Bagmane,12.9845,77.6614,East,
560094,Yelahanka 2nd Stage,13.0815,77.5981,North,
560095,Koramangala (ext),12.9252,77.6188,South-East,
560100,Electronic City Phase 1,12.8399,77.6773,South,
560102,HSR Layout,12.9116,77.6389,South-East,
560103,Bellandur / Embassy TechVillage,12.9277,77.6781,South-East,
