"BENGALURU — SUB-LOCALITIES, BLOCKS & SECTORS",,,,,,
88 entries | Koramangala 1-8 Blocks | HSR Sectors 1-7 | Jayanagar 1-9 Blocks | JP Nagar 9 Phases | BTM Stages | Electronic City Phases | Whitefield sub-areas | Banashankari Stages,,,,,,
PIN,Locality,Sub-Area / Block,Lat,Lng,Notes,
560034,Koramangala,1st Block,12.9397,77.6109,Near Forum Mall,
560034,Koramangala,2nd Block,12.9372,77.6140,Residential,
560034,Koramangala,3rd Block,12.9352,77.6172,Mixed commercial,
560034,Koramangala,4th Block,12.9325,77.6200,Commercial hub,
560034,Koramangala,5th Block,12.9330,77.6228,Restaurants/startups,
560034,Koramangala,6th Block,12.9310,77.6250,Startup offices,
560034,Koramangala,7th Block,12.9295,77.6274,Offices & PGs,
560034,Koramangala,8th Block,12.9275,77.6300,Dense PG zone,
560034,Koramangala,KHB Colony,12.9340,77.6160,Residential,
560034,Koramangala,SG Palya,12.9250,77.6170,Adjacent to BTM,
560034,Koramangala,CL Layout,12.9270,77.6220,Near 8th Block,
560034,Koramangala,Jakkasandra,12.9308,77.6180,Between blocks,
560034,Koramangala,Venkatapura,12.9330,77.6120,Near 1st Block,
560034,Koramangala,AVS Layout,12.9295,77.6230,Residential lanes,
560034,Koramangala,Cauvery Colony,12.9360,77.6085,Near Forum entry,
560034,Koramangala,Industrial Layout,12.9280,77.6280,Light industry+PG,
560102,HSR Layout,Sector 1,12.9215,77.6365,Largest; 27th Main,
560102,HSR Layout,Sector 2,12.9175,77.6409,Residential,
560102,HSR Layout,Sector 3,12.9145,77.6420,Commercial strip,
560102,HSR Layout,Sector 4,12.9120,77.6355,Near ORR,
560102,HSR Layout,Sector 5,12.9090,77.6380,Near Bellandur,
560102,HSR Layout,Sector 6,12.9065,77.6410,Smallest sector,
560102,HSR Layout,Sector 7,12.9095,77.6310,Startup hub; commercial,
560102,HSR Layout,Agara,12.9190,77.6440,Near Agara Lake,
560102,HSR Layout,Somasundara Palya,12.9150,77.6360,Residential,
560102,HSR Layout,Vanganahalli,12.9170,77.6330,Near Silk Board,
560102,HSR Layout,ITI Layout,12.9200,77.6315,Mix residential,
560041,Jayanagar,1st Block,12.9382,77.5820,Near Ashoka Pillar,
560041,Jayanagar,2nd Block,12.9358,77.5835,Residential,
560041,Jayanagar,3rd Block,12.9340,77.5858,Gandhi Bazaar adj,
560011,Jayanagar,3rd Block East,12.9320,77.5865,Post office area,
560041,Jayanagar,4th Block,12.9289,77.5830,Metro station (Green Line),
560041,Jayanagar,4th T Block,12.9280,77.5850,T = Township,
560041,Jayanagar,5th Block,12.9265,77.5828,Near Lalbagh,
560069,Jayanagar,6th Block East,12.9308,77.6050,Hosur Rd side,
560069,Jayanagar,7th Block,12.9290,77.6070,Near Dairy Circle,
560041,Jayanagar,8th Block,12.9260,77.5875,Near JP Nagar border,
560041,Jayanagar,9th Block,12.9240,77.5890,Near JP Nagar,
560076,BTM Layout,1st Stage,12.9215,77.6148,Residential,
560076,BTM Layout,2nd Stage,12.9163,77.6100,Commercial/PG dense; Yellow Line metro,
560076,BTM Layout,Tavarekere,12.9250,77.6075,Near Dairy Circle; future Pink Line,
560078,JP Nagar,Phase 1,12.9200,77.5940,Old phase,
560078,JP Nagar,Phase 2,12.9150,77.5940,Residential,
560078,JP Nagar,Phase 3,12.9058,77.5874,ORR side,
560078,JP Nagar,Phase 4,12.8990,77.5910,Near Pink Line metro (UC),
560078,JP Nagar,Phase 5,12.8950,77.5930,Near Bannerghatta,
560078,JP Nagar,Phase 6,12.8910,77.5950,Outer areas,
560078,JP Nagar,Phase 7,12.8875,77.5970,Near Kanakapura,
560078,JP Nagar,Phase 8,12.8840,77.5990,South JP Nagar,
560078,JP Nagar,Phase 9,12.8800,77.6010,Outer JP Nagar,
560066,Whitefield,ITPL / Pattandur Agrahara,12.9700,77.7482,Near ITPB Purple Line metro,
560066,Whitefield,Kadugodi,12.9912,77.7503,End of Purple Line,
560066,Whitefield,Nallurhalli,12.9788,77.7405,Purple Line station,
560066,Whitefield,Brookefield,12.9764,77.7249,Near Kundalahalli,
560066,Whitefield,Hope Farm,12.9912,77.7408,Channasandra junction,
560066,Whitefield,Thubarahalli,12.9635,77.7152,Near Doddanekundi,
560066,Whitefield,Varthur,12.9393,77.7482,Residential,
560100,Electronic City,Phase 1,12.8445,77.6782,Main IT zone,
560100,Electronic City,Konappana Agrahara,12.8337,77.6758,Yellow Line metro,
560100,Electronic City,Hebbagodi,12.8226,77.6768,Biocon zone,
560100,Electronic City,Hosa Road,12.8599,77.6875,Near Singasandra,
560038,Indiranagar,1st Stage,12.9784,77.6408,Old Indiranagar,
560038,Indiranagar,2nd Stage,12.9740,77.6408,Commercial,
560038,Indiranagar,100 Feet Road,12.9784,77.6454,Main commercial road,
560038,Indiranagar,CMH Road,12.9720,77.6390,Main road,
560037,Marathahalli,Marathahalli Bridge,12.9591,77.6974,ORR junction,
560037,Marathahalli,Doddanekkundi,12.9650,77.6962,Industrial area,
560037,Marathahalli,Kadubeesanahalli,12.9450,77.7048,Near ORR,
560103,Bellandur,Bellandur Main,12.9277,77.6781,Near ORR,
560103,Bellandur,Embassy Tech Village area,12.9174,77.6900,IT park,
560103,Bellandur,Agara Junction,12.9190,77.6830,Adj HSR,
560050,Banashankari,1st Stage,12.9394,77.5712,Old area,
560050,Banashankari,2nd Stage,12.9340,77.5680,Market area,
