BENGALURU — MAJOR IT TECH PARKS,,,,,,,,,,,,,,
"14 major IT parks | Source: NoBroker, ZeroAdo, Zolo, Prestige, HSBC Business | Coordinates: approximate centroids",,,,,,,,,,,,,,
Tech Park Name,Address,PIN,Zone,Lat,Lng,Area (acres),Built-up,Est.,Key Companies,Nearest Metro,,,,
ITPB / ITPL,"Whitefield Main Rd, Pattandur Agrahara",560066,East,12.9700,77.7482,69 acres,5M sqft,1994,"TCS, Oracle, Vodafone, IBM, Dell, SAP",Whitefield (Kadugodi) Purple Line ~1km,,,,
Manyata Embassy Biz Park,"Outer Ring Rd, Nagavara",560045,North,13.0510,77.6215,300 acres,9.8M sqft,2005,"IBM, Cognizant, Target, Philips",Kempapura / Hebbala (UC),,,,
Bagmane Tech Park,CV Raman Nagar,560093,Central-East,12.9845,77.6614,42 acres,5M sqft,1998,"Oracle, Dell, Texas Instruments, Nike",Swami Vivekananda Rd Purple Line ~0.5km,,,,
Embassy TechVillage (ETV),"Marathahalli-Sarjapur ORR, Bellandur",560103,South-East,12.9174,77.6900,84 acres,10M+ sqft,2008,"Cisco, JP Morgan, Oracle, Capgemini",Blue Line (UC) nearby,,,,
RMZ Ecospace,"Sarjapur ORR, Bellandur",560103,South-East,12.9200,77.6810,25 acres,Large,2008,Various MNCs,Near Embassy TechVillage,,,,
Prestige Tech Park,Marathahalli ORR,560103,South-East,12.9550,77.6900,100+ acres,Large,2012,"Accenture, KPMG, Mindtree, SAP, Bosch",ORR corridor,,,,
Global Village Tech Park,Mysore Road / Kengeri,560059,West,12.9200,77.4800,120 acres,Large,2015,"LTIMindtree, Accenture, Mphasis, NTT Data",Near Kengeri metro,,,,
Bagmane World Tech Centre,Mahadevapura,560048,East,12.9950,77.6750,Large,Large,2015,"Dell, Samsung, Google",Mahadevapura corridor,,,,
Brigade Tech Gardens,Whitefield,560066,East,12.9620,77.7200,Medium,Large,2018,Various,Near Brookefield,,,,
Pritech Park SEZ,Bellandur / ORR,560103,South-East,12.9250,77.6850,Medium,Large,2010,Various IT,Near Silk Board ORR,,,,
Kalyani Tech Park,Whitefield area,560066,East,12.9700,77.7100,Medium,Medium,2015,Various,Whitefield corridor,,,,
AKR Tech Park,Whitefield,560066,East,12.9680,77.7050,Medium,Medium,2010,Various,Whitefield,,,,
Shilpitha Tech Park,HSR/ORR area,560102,South-East,12.9200,77.6600,Small,Small,2012,Various SMEs,HSR Layout boundary,,,,
Electronic City (ELCIA),"Hosur Road, Electronic City",560100,South,12.8445,77.6782,332 acres,Large,1978,"Infosys, Wipro, HCL, TCS, Siemens","Yellow Line: E-City, Infosys Foundation",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INTER TECH PARK HAVERSINE DISTANCES (km) — straight line,,,,,,,,,,,,,,
↓ From / To →,ITPB,Manyata,Bagmane,EmbassyTV,RMZ,Prestige,GVillage,BagmaneWTC,Brigade,Pritech,Kalyani,AKR,Shilpitha,E-City
ITPB,—,,,,,,,,,,,,,
